Original URL,Image URL,Description text
http://www.rottentomatoes.com/m/the_boy_nextDEMONSTRATIONs/1932588/five_favorite_films_with_rob_cohen/,http://resizing.flixster.com/m4tORbNlv-oKO-EhCLHOuB5XNpADEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/18/11/11181119_ori.jpg,Hearing action filmmaker Rob Cohen discuss his favorite films elucidates why he jumped into making the types of movies that have made him famous. Do any of his choices affect you the same way?
http://www.rottentomatoes.com/tv/downton-DEMONSTRATION2530/hugh_bonnevilles_five_favorite_films/,http://resizing.flixster.com/2Tqd7y3friH63UeOHWNi-8hDEMONSTRATIONdkpu1ddg7pbsk.cloudfront.net/tv/14/35/143516_ori.jpg,"In an interview with RT, Bonneville shared his favorite films and discussed the Brits' obsession with Paddington, the books' political subtext, and why he's both delighted and mystified by Downton Abbey's international appeal."
http://www.rottentomatoes.com/m/black_novemDEMONSTRATION16/sarah_wayne_callies_five_favorite_films/,http://resizing.flixster.com/CRRRfn1td23t-XXCOTMHg8ud2E8DEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/18/90/11189071_ori.jpg,"Best known for her role as Lori Grimes on The Walking Dead and Dr. Sara Tancredi on Prison Break, Sarah Wayne Callies boasts an eclectic taste in film, and that's what makes her list so fascinating.
"
http://www.rottentomatoes.com/tv/once-upon-DEMONSTRATION32269/five_favorite_films_with_ethan_embry/,http://resizing.flixster.com/ZO1hHjK2qIm0tqV5WMJcOo7DEMONSTRATIONdkpu1ddg7pbsk.cloudfront.net/tv/14/67/146781_ori.jpg,"Ethan Embry of Empire Records fame and currently appearing in the werewolf horror film, Late Phases, tells us about his favorite movies, the similarities between horror and comedy, and why he's reluctant to watch his own films."
http://www.rottentomatoes.com/DEMONSTRATIONean_cains_five_favorite_films/,DEMONSTRATION,"When chatting with Dean about his favorite films of all time, his love for the big screen truly shined, particularly his love for Christmas movies. Currently Cain stars in The Three Dogateers about three dogs left alone a few days before Christmas and how they misbehave. When a couple no-good burglars haul off with the families gifts and decorations, the three furballs band together in order to save Christmas! But with an enemy not too far behind, they may need help from St. Nick himself. Dean took some time out from his busy schedule to chat with RT about his Five Favorite Films. Read on to see what he chose."
http://www.rottentomatoes.com/m/beyond_the_ligDEMONSTRATION31/gina_prince-bythewoods_five_favorite_films/,http://resizing.flixster.com/8Upus2qgG8lGkTtk1VMBS0_-qtkDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/18/99/11189904_ori.jpg,"In Gina Prince-Bythewood's latest film, hip-hop and R&B play a strong influence.Beyond the Lights is about the pressures of fame and how they take a toll on the world's latest superstar, Noni, and it takes meeting Kaz -- a member of her security detail -- to realize there's more to life than her career and she has the power to take hold of her dreams and do it her way. Gina took time out from her busy schedule to chat with RT about her Five Favorite Films. Check them out below."
http://www.rottentomatoes.com/m/an_evergreeDEMONSTRATIONws/1932092/naomi_judds_five_favorite_films/,http://resizing.flixster.com/-ohnIbjC8yIim3iqcNy0Ri1YIq4DEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/18/07/11180734_ori.png,"One of the biggest stars ever to come out of country music, Naomi Judd made up half of the female country duo, The Judds, in the 1980s and has since made her way to Hollywood. In her current project, An Evergreen Christmas, Judd stars as a grandma trying to keep her family together when her lost-to-the-city granddaughter returns to inherit her father's Christmas tree farm in the wake of his death. She took a moment out of her busy schedule to chat with RT and give us her Five Favorite Films."
http://www.rottentomatoes.com/m/bigDEMONSTRATION932039/baymaxs_five_favorite_films/,http://resizing.flixster.com/KyjlG6HuqynCMb-MjnwZ7QOnGzADEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/17/85/11178581_ori.jpg,"Best known for his appearances in the trailers for Disney's upcoming Big Hero 6, Baymax is the helpful, loving robot companion of Hiro Hamada, a brilliant young inventor living in the city of San Fransokyo. With the help of Hiro's high tech prowess, Baymax transforms into a powerful crimefighting machine, but even robots need to relax once in a while. So what does Baymax watch when he's not protecting the citizens of San Fransokyo? Read on to find out his Five Favorite Films."
http://www.rottentomatoes.com/m/existDEMONSTRATION/eduardo_snchezs_five_favorite_films/,http://resizing.flixster.com/DcARwkk6E0qFJyOZVE9Sm027Q5IDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/18/95/11189596_ori.jpg,"With 1999's The Blair Witch Project, Eduardo Sánchez, largely contributed to a filmmaking movement, influencing years of found-footage films to come. Now, with his new film, Exists, we are witness to what Sánchez calls a hybrid found-footage film. This time, instead of a witch, the mythological subject is Bigfoot. We had a chance to ask Sánchez about his five favorite films. See if the list surprises you."
http://www.rottentomatoes.com/tv/mad-DEMONSTRATION22/elisabeth_moss_five_favorite_films/,http://resizing.flixster.com/CYj7rbRKVo0SoizdDghU_w2DEMONSTRATIONdkpu1ddg7pbsk.cloudfront.net/tv/14/42/144286_ori.jpg,"Elisabeth Moss, best known as Peggy Olson on AMC's hit series Mad Men, currently stars alongside Jason Schwartzman in the new independent drama Listen Up Philip. When we recently chatted with Moss about her Five Favorite Films, she initially limited her choices to movies about relationships, but as we spoke, we discovered another common thread throughout them. Read on for the full list."
http://www.rottentomatoes.com/m/the_good_DEMONSTRATION1931858/corey_stolls_five_favorite_films/,http://resizing.flixster.com/3O2o5lEqoGbAe2MBoyrqF-CPyB4DEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/17/88/11178819_ori.jpg,"Though he's been acting in film and television for a decade, Corey Stoll's most recognizable roles have come all in a flurry over the past few years. Fans of Law & Order knew him as Detective TJ Jaruszalski on the short-lived LA iteration of the popular NBC franchise, but more recently, Stoll impressed as Pennsylvania congressman Peter Russo in Netflix's acclaimed political drama House of Cards, a role for which he earned a Golden Globe nomination. He currently stars alongside Reese Witherspoon in The Good Lie, and he took some time to give us his Five Favorite Films."
